epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,332.099,1.00938,0.73679,1.00478,0.95069,0.81061,0.88423,0.58384,1.20245,1.02632,1.02429,0.000643101,0.000643101,0.000643101
43,339.989,1.0418,0.73286,1.04066,0.88628,0.78039,0.87613,0.53913,1.42913,1.11482,1.09109,0.000628101,0.000628101,0.000628101
44,348.446,1.01129,0.75784,1.00507,0.89557,0.83422,0.87748,0.58933,1.31556,1.05836,1.03345,0.000612981,0.000612981,0.000612981
45,357.064,1.01577,0.75358,1.01877,0.94595,0.84858,0.90243,0.59454,1.29106,0.97817,1.02584,0.000597754,0.000597754,0.000597754
46,365.124,1.02798,0.72966,1.02397,0.94633,0.81616,0.90498,0.60079,1.30318,0.95445,1.04057,0.000582435,0.000582435,0.000582435
47,373.123,0.97857,0.72332,1.02308,0.90414,0.84246,0.8907,0.59781,1.23474,1.01784,1.01998,0.00056704,0.00056704,0.00056704
48,380.283,0.95287,0.70207,1.01395,0.93712,0.80934,0.89034,0.58728,1.27365,1.03329,1.01899,0.000551584,0.000551584,0.000551584
49,387.505,0.98059,0.72924,1.01844,0.92175,0.84856,0.9074,0.58686,1.33607,1.03401,1.04719,0.000536081,0.000536081,0.000536081
50,394.408,0.96959,0.71245,1.00971,0.93906,0.86819,0.90935,0.57352,1.42396,0.97053,1.05825,0.000520548,0.000520548,0.000520548
51,401.669,0.94564,0.66007,1.00117,0.94614,0.87548,0.90391,0.56809,1.43206,0.9022,1.04268,0.000505,0.000505,0.000505
52,409.245,0.89325,0.65955,1.00246,0.93735,0.86743,0.91292,0.56701,1.43477,0.86805,1.06733,0.000489452,0.000489452,0.000489452
53,416.523,0.95493,0.68861,1.02764,0.96737,0.86032,0.91764,0.58418,1.38983,0.84941,1.04681,0.000473919,0.000473919,0.000473919
54,423.455,0.95121,0.65427,0.97884,0.96465,0.82648,0.91925,0.59591,1.37269,0.89145,1.04191,0.000458416,0.000458416,0.000458416
55,430.648,0.94312,0.68056,1.01817,0.97046,0.8101,0.91175,0.61006,1.29362,0.90401,1.04446,0.00044296,0.00044296,0.00044296
56,437.742,0.91639,0.67182,0.99855,0.935,0.80809,0.91524,0.61058,1.20433,0.88081,1.03927,0.000427565,0.000427565,0.000427565
57,445.936,0.93316,0.63355,1.00164,0.91873,0.81497,0.91783,0.59428,1.2483,0.86917,1.04622,0.000412246,0.000412246,0.000412246
58,452.797,0.93036,0.66426,0.98687,0.95496,0.85261,0.93068,0.60149,1.25748,0.86098,1.01706,0.000397019,0.000397019,0.000397019
59,459.834,0.87742,0.62307,0.99796,0.90793,0.86605,0.92798,0.63598,1.10848,0.80226,0.99311,0.000381899,0.000381899,0.000381899
60,467.32,0.89861,0.66106,0.96924,0.96415,0.87438,0.93729,0.62227,1.17526,0.80192,1.02772,0.000366899,0.000366899,0.000366899
61,474.474,0.88754,0.64639,0.99507,0.95674,0.8706,0.93175,0.62074,1.219,0.81926,1.02319,0.000352037,0.000352037,0.000352037
